# doc = расшифровка_Роман.2.txt,,,,,,,,,,,,,,,,
# speaker = Роман,,,,,,,,,,,,,,,,
# sent = 2810,,,,,,,,,,,,,,,,
# sent = 2818,,,,,,,,,,,,,,,,
,Начались,НАЧАТЬСЯ,V pf act praet pl indic - -,,,.   _Начались_ какие-то ролики про,ь,с,и,л,а,ч,V,НАЧАТЬСЯ,V pf praet pl indic - -,Я
,какие-то,КАКОЙ-ТО,APRO - nom pl plen - -,,,"Начались _какие-то_ ролики про """,о,т,-,е,и,к,APRO,КАКОЙ-ТО,A - nom pl plen - -,О
,ролики,РОЛИК,S m inan nom pl,,,"Начались какие-то _ролики_ про "" День",и,к,и,л,о,р,S,РОЛИК,S m inan nom pl,К
,про,ПРО,PR,,,"Начались какие-то ролики _про_ "" День Вышки",о,р,п,,,,PR,ПРО,PR,О
,	,PUNCT,,,,,,,,,,PUNCT,,,,
,День,ДЕНЬ,S m inan nom sg,,,"ролики про "" _День_ Вышки """,ь,н,е,д,,,S,ДЕНЬ,S m inan nom sg,Ь
,Вышки,ВЫШКА,S f inan gen sg,,,"про "" День _Вышки_ ""  дветыщипитнацатова",и,к,ш,ы,в,,S,ВЫШКА,S f inan acc pl,А
,	,PUNCT,,,,,,,,,,PUNCT,,,,
"<distinct form=""",,,,,,,,,,,,,,,,
<dist>,дветыщипитнацатова,,,,,,,,,,,,,,,
">																
	2015	2015	NUM - - -			 дветыщипитнацатова  _2015_  года ,	5	1	0	2			NUM	2015	NUM - - -	5
</distinct>																
	года	ГОД	S m inan gen sg			 2015  _года_ , другие вещи	а	д	о	г			S	ГОД	S m inan gen sg	Д
	,	,	PUNCT										PUNCT			
	другие	ДРУГОЙ	A - nom pl plen - -			 года , _другие_ вещи - интересные	е	и	г	у	р	д	A	ДРУГОЙ	A - nom pl plen - -	Й
	вещи	ВЕЩЬ	S f inan nom pl			года , другие _вещи_ - интересные ,	и	щ	е	в			S	ВЕЩЬ	S f inan nom pl	Ь
	-	-	PUNCT										PUNCT			
	интересные	ИНТЕРЕСНЫЙ	A - nom pl plen - -			другие вещи - _интересные_ ,  широко раскрывает глаза	е	ы	н	с	е	р	A	ИНТЕРЕСНЫЙ	A - nom pl plen - -	Й
	,	,	PUNCT										PUNCT			
<span class=note"">",,,,,,,,,,,,,,,,
<note>,широко раскрывает глаза,,,,,,,,,,,,,,,
</span>,,,,,,,,,,,,,,,,
,не,НЕ,PART,,,"широко раскрывает глаза  _не_ очень интересные ,",е,н,,,,,PART,НЕ,PART,Е
,очень,ОЧЕНЬ,ADV -,,,"широко раскрывает глаза  не _очень_ интересные , разное",ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
,интересные,ИНТЕРЕСНЫЙ,A - nom pl plen - -,,,"не очень _интересные_ , разное было",е,ы,н,с,е,р,A,ИНТЕРЕСНЫЙ,A - nom pl plen - -,Й
,",",",",PUNCT,,,,,,,,,,PUNCT,,,
,разное,РАЗНЫЙ,A - nom sg plen n -,,,"очень интересные , _разное_ было .",е,о,н,з,а,р,A,РАЗНЫЙ,A - nom sg plen n -,Й
,было,БЫТЬ,V ipf act praet sg indic n -,,,"интересные , разное _было_ .",о,л,ы,б,,,V,БЫТЬ,V ipf praet sg indic n -,Ь
,.,.,PUNCT,,,,,,,,,,PUNCT,,,
,,,,,,,,,,,,,,,,
# sent = 2819,,,,,,,,,,,,,,,,
,Ну,НУ,PART,,,".   _Ну_ , начала толпа",у,н,,,,,PART,НУ,PART,У
,",",",",PUNCT,,,,,,,,,,PUNCT,,,
,начала,НАЧАЛО,V ipf act praet sgindic f-,,,"Ну , _начала_ толпа скандировать :",а,л,а,ч,а,н,S,НАЧАЛО,S n inan acc pl,О
,толпа,ТОЛПА,S f inan nom sg,,,"Ну , начала _толпа_ скандировать : """,а,п,л,о,т,,S,ТОЛПА,S f inan nom sg,А
,скандировать,СКАНДИРОВАТЬ,V ipf - - inf - -,,,", начала толпа _скандировать_ : "" Нойз",ь,т,а,в,о,р,V,СКАНДИРОВАТЬ,V ipf - - inf - -,Ь
,:,:,PUNCT,,,,,,,,,,PUNCT,,,
,	,PUNCT,,,,,,,,,,PUNCT,,,,
,Нойз,НОЙЗ,S m anim nom sg,,,"скандировать : "" _Нойз_ МС ! """,з,й,о,н,,,S,НОЙЗ,S m anim nom sg,З
,МС,МС,S m inan nom sg,,,": "" Нойз _МС_ ! """,с,м,,,,,S,МС,S f inan nom sg,С
,!,!,PUNCT,,,,,,,,,,PUNCT,,,
,	,PUNCT,,,,,,,,,,PUNCT,,,,
,,,,,,,,,,,,,,,,
# sent = 2820,,,,,,,,,,,,,,,,
"<span class=""note"">",,,,,,,,,,,,,,,,
<note>,имитирует звук толпы,,,,,,,,,,,,,,,
</span>,,,,,,,,,,,,,,,,
